tanggal,musim,tahun,bulan,jam,hari_libur,hari,hari_kerja,cuaca,suhu1,suhu2,kelembapan,laju_angin,Penyewa_NonMember,Penyewa_Member,Total_Penyewa
2011-01-01,Semi,2011,Jan,0,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.84,14.395,81.0,0.0,3,13,16
2011-01-01,Semi,2011,Jan,1,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.02,13.635,80.0,0.0,8,32,40
2011-01-01,Semi,2011,Jan,2,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.02,13.635,80.0,0.0,5,27,32
2011-01-01,Semi,2011,Jan,3,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.84,14.395,75.0,0.0,3,10,13
2011-01-01,Semi,2011,Jan,4,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.84,14.395,75.0,0.0,0,1,1
2011-01-01,Semi,2011,Jan,5,Hari_Kerja,Sabtu,Hari_Libur,Berawan,9.84,12.879999999999999,75.0,6.0032,0,1,1
2011-01-01,Semi,2011,Jan,6,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.02,13.635,80.0,0.0,2,0,2
2011-01-01,Semi,2011,Jan,7,Hari_Kerja,Sabtu,Hari_Libur,Cerah,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3
2011-01-01,Semi,2011,Jan,8,Hari_Kerja,Sabtu,Hari_Libur,Cerah,9.84,14.395,75.0,0.0,1,7,8
2011-01-01,Semi,2011,Jan,9,Hari_Kerja,Sabtu,Hari_Libur,Cerah,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14
2011-01-01,Semi,2011,Jan,10,Hari_Kerja,Sabtu,Hari_Libur,Cerah,15.58,19.695,76.0,16.997899999999998,12,24,36
2011-01-01,Semi,2011,Jan,11,Hari_Kerja,Sabtu,Hari_Libur,Cerah,14.76,16.665,81.0,19.0012,26,30,56
2011-01-01,Semi,2011,Jan,12,Hari_Kerja,Sabtu,Hari_Libur,Cerah,17.22,21.21,77.0,19.0012,29,55,84
2011-01-01,Semi,2011,Jan,13,Hari_Kerja,Sabtu,Hari_Libur,Berawan,18.86,22.725,72.0,19.999499999999998,47,47,94
2011-01-01,Semi,2011,Jan,14,Hari_Kerja,Sabtu,Hari_Libur,Berawan,18.86,22.725,72.0,19.0012,35,71,106
2011-01-01,Semi,2011,Jan,15,Hari_Kerja,Sabtu,Hari_Libur,Berawan,18.04,21.97,77.0,19.999499999999998,40,70,110
2011-01-01,Semi,2011,Jan,16,Hari_Kerja,Sabtu,Hari_Libur,Berawan,17.22,21.21,82.0,19.999499999999998,41,52,93
2011-01-01,Semi,2011,Jan,17,Hari_Kerja,Sabtu,Hari_Libur,Berawan,18.04,21.97,82.0,19.0012,15,52,67
2011-01-01,Semi,2011,Jan,18,Hari_Kerja,Sabtu,Hari_Libur,Hujan_Ringan,17.22,21.21,88.0,16.997899999999998,9,26,35
2011-01-01,Semi,2011,Jan,19,Hari_Kerja,Sabtu,Hari_Libur,Hujan_Ringan,17.22,21.21,88.0,16.997899999999998,6,31,37
2011-01-01,Semi,2011,Jan,20,Hari_Kerja,Sabtu,Hari_Libur,Berawan,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36
2011-01-01,Semi,2011,Jan,21,Hari_Kerja,Sabtu,Hari_Libur,Berawan,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34
2011-01-01,Semi,2011,Jan,22,Hari_Kerja,Sabtu,Hari_Libur,Berawan,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28
2011-01-01,Semi,2011,Jan,23,Hari_Kerja,Sabtu,Hari_Libur,Berawan,18.86,22.725,88.0,19.999499999999998,15,24,39
2011-01-02,Semi,2011,Jan,0,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.86,22.725,88.0,19.999499999999998,4,13,17
2011-01-02,Semi,2011,Jan,1,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.04,21.97,94.0,16.997899999999998,1,16,17
2011-01-02,Semi,2011,Jan,2,Hari_Kerja,Minggu,Hari_Libur,Berawan,17.22,21.21,100.0,19.0012,1,8,9
2011-01-02,Semi,2011,Jan,3,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.86,22.725,94.0,12.998000000000001,2,4,6
2011-01-02,Semi,2011,Jan,4,Hari_Kerja,Minggu,Hari_Libur,Berawan,18.86,22.725,94.0,12.998000000000001,2,1,3
2011-01-02,Semi,2011,Jan,6,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,17.22,21.21,77.0,19.999499999999998,0,2,2
2011-01-02,Semi,2011,Jan,7,Hari_Kerja,Minggu,Hari_Libur,Berawan,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1
2011-01-02,Semi,2011,Jan,8,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8
2011-01-02,Semi,2011,Jan,9,Hari_Kerja,Minggu,Hari_Libur,Berawan,15.58,19.695,76.0,15.001299999999999,1,19,20
2011-01-02,Semi,2011,Jan,10,Hari_Kerja,Minggu,Hari_Libur,Berawan,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53
2011-01-02,Semi,2011,Jan,11,Hari_Kerja,Minggu,Hari_Libur,Berawan,14.76,16.665,71.0,16.997899999999998,16,54,70
2011-01-02,Semi,2011,Jan,12,Hari_Kerja,Minggu,Hari_Libur,Berawan,14.76,16.665,66.0,19.999499999999998,20,73,93
2011-01-02,Semi,2011,Jan,13,Hari_Kerja,Minggu,Hari_Libur,Berawan,14.76,17.424999999999997,66.0,8.9981,11,64,75
2011-01-02,Semi,2011,Jan,14,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59
2011-01-02,Semi,2011,Jan,15,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,13.940000000000001,16.665,81.0,11.0014,19,55,74
2011-01-02,Semi,2011,Jan,16,Hari_Kerja,Minggu,Hari_Libur,Hujan_Ringan,13.940000000000001,16.665,71.0,11.0014,9,67,76
2011-01-02,Semi,2011,Jan,17,Hari_Kerja,Minggu,Hari_Libur,Cerah,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65
2011-01-02,Semi,2011,Jan,18,Hari_Kerja,Minggu,Hari_Libur,Berawan,14.76,16.665,46.0,22.0028,10,43,53
2011-01-02,Semi,2011,Jan,19,Hari_Kerja,Minggu,Hari_Libur,Cerah,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30
2011-01-02,Semi,2011,Jan,20,Hari_Kerja,Minggu,Hari_Libur,Cerah,12.299999999999999,13.635,39.0,23.9994,5,17,22
2011-01-02,Semi,2011,Jan,21,Hari_Kerja,Minggu,Hari_Libur,Cerah,10.66,11.365,44.0,22.0028,11,20,31
2011-01-02,Semi,2011,Jan,22,Hari_Kerja,Minggu,Hari_Libur,Cerah,9.84,10.605,44.0,19.999499999999998,0,9,9
2011-01-02,Semi,2011,Jan,23,Hari_Kerja,Minggu,Hari_Libur,Cerah,9.02,11.365,47.0,11.0014,0,8,8
2011-01-03,Semi,2011,Jan,0,Hari_Kerja,Senin,Hari_Kerja,Cerah,9.02,9.85,44.0,23.9994,0,5,5
2011-01-03,Semi,2011,Jan,1,Hari_Kerja,Senin,Hari_Kerja,Cerah,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2
2011-01-03,Semi,2011,Jan,4,Hari_Kerja,Senin,Hari_Kerja,Cerah,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1
2011-01-03,Semi,2011,Jan,5,Hari_Kerja,Senin,Hari_Kerja,Cerah,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3
2011-01-03,Semi,2011,Jan,6,Hari_Kerja,Senin,Hari_Kerja,Cerah,5.74,5.305,50.0,26.0027,0,30,30
2011-01-03,Semi,2011,Jan,7,Hari_Kerja,Senin,Hari_Kerja,Cerah,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64
2011-01-03,Semi,2011,Jan,8,Hari_Kerja,Senin,Hari_Kerja,Cerah,5.74,6.0600000000000005,50.0,19.0012,1,153,154
2011-01-03,Semi,2011,Jan,9,Hari_Kerja,Senin,Hari_Kerja,Cerah,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88
2011-01-03,Semi,2011,Jan,10,Hari_Kerja,Senin,Hari_Kerja,Cerah,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44
2011-01-03,Semi,2011,Jan,11,Hari_Kerja,Senin,Hari_Kerja,Cerah,8.200000000000001,9.09,40.0,22.0028,10,41,51
2011-01-03,Semi,2011,Jan,12,Hari_Kerja,Senin,Hari_Kerja,Cerah,9.02,10.605,35.0,19.999499999999998,13,48,61
2011-01-03,Semi,2011,Jan,13,Hari_Kerja,Senin,Hari_Kerja,Cerah,9.84,10.605,35.0,19.0012,8,53,61
2011-01-03,Semi,2011,Jan,14,Hari_Kerja,Senin,Hari_Kerja,Cerah,10.66,12.120000000000001,30.0,19.0012,11,66,77
2011-01-03,Semi,2011,Jan,15,Hari_Kerja,Senin,Hari_Kerja,Cerah,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72
2011-01-03,Semi,2011,Jan,16,Hari_Kerja,Senin,Hari_Kerja,Cerah,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76
2011-01-03,Semi,2011,Jan,17,Hari_Kerja,Senin,Hari_Kerja,Cerah,9.84,11.365,30.0,15.001299999999999,11,146,157
2011-01-03,Semi,2011,Jan,18,Hari_Kerja,Senin,Hari_Kerja,Cerah,9.84,12.879999999999999,32.0,7.0015,9,148,157
2011-01-03,Semi,2011,Jan,19,Hari_Kerja,Senin,Hari_Kerja,Cerah,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110
2011-01-03,Semi,2011,Jan,20,Hari_Kerja,Senin,Hari_Kerja,Cerah,8.200000000000001,11.365,47.0,7.0015,3,49,52
2011-01-03,Semi,2011,Jan,21,Hari_Kerja,Senin,Hari_Kerja,Cerah,7.38,9.85,64.0,8.9981,3,49,52
2011-01-03,Semi,2011,Jan,22,Hari_Kerja,Senin,Hari_Kerja,Cerah,5.74,7.575,69.0,8.9981,0,20,20
2011-01-03,Semi,2011,Jan,23,Hari_Kerja,Senin,Hari_Kerja,Cerah,7.38,10.605,55.00000000000001,7.0015,1,11,12
2011-01-04,Semi,2011,Jan,0,Hari_Kerja,Selasa,Hari_Kerja,Cerah,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5
2011-01-04,Semi,2011,Jan,1,Hari_Kerja,Selasa,Hari_Kerja,Cerah,6.5600000000000005,9.09,59.0,7.0015,0,2,2
2011-01-04,Semi,2011,Jan,2,Hari_Kerja,Selasa,Hari_Kerja,Cerah,5.74,7.575,63.0,8.9981,0,1,1
2011-01-04,Semi,2011,Jan,4,Hari_Kerja,Selasa,Hari_Kerja,Cerah,5.74,9.09,63.0,6.0032,0,2,2
2011-01-04,Semi,2011,Jan,5,Hari_Kerja,Selasa,Hari_Kerja,Cerah,4.92,7.575,68.0,7.0015,0,4,4
